prot_IDs	usage
prot_P00044_exchange	0
prot_P00127_exchange	1
prot_P00128_exchange	1
prot_P00163_exchange	1
prot_P00175_exchange	0
prot_P00358_exchange	0
prot_P00359_exchange	0
prot_P00360_exchange	0.590835480604846
prot_P00401_exchange	1
prot_P00410_exchange	1
prot_P00420_exchange	1
prot_P00425_exchange	1
prot_P00427_exchange	1
prot_P00431_exchange	0
prot_P00445_exchange	0
prot_P00447_exchange	0
prot_P00498_exchange	0.358468758575831
prot_P00549_exchange	0.0368211358448974
prot_P00560_exchange	0.0180689042421531
prot_P00724_exchange	0
prot_P00812_exchange	0
prot_P00815_exchange	0.0145176056038421
prot_P00817_exchange	0.0646555526547822
prot_P00830_exchange	0.0975912630890423
prot_P00854_exchange	0.951508341013976
prot_P00856_exchange	0.951508341013976
prot_P00890_exchange	0
prot_P00899_exchange	0.645270094356107
prot_P00924_exchange	0.0418140016978199
prot_P00927_exchange	0.00771964555753083
prot_P00931_exchange	1
prot_P00937_exchange	0.492199190807586
prot_P00942_exchange	0.00104672865450962
prot_P00950_exchange	0.0352137229007828
prot_P00958_exchange	1
prot_P03962_exchange	0.00466007732793185
prot_P03965_exchange	0.0015505320293764
prot_P04037_exchange	1
prot_P04039_exchange	1
prot_P04046_exchange	0.037773990319433
prot_P04076_exchange	0.000491155695413408
prot_P04161_exchange	0.769712351934449
prot_P04801_exchange	0.724903561630219
prot_P04802_exchange	0.173182650885314
prot_P04806_exchange	0
prot_P04807_exchange	0
prot_P05030_exchange	0
prot_P05150_exchange	0.00822010692105202
prot_P05373_exchange	5.95908133843892e-05
prot_P05375_exchange	0.227242545983004
prot_P05626_exchange	0.951508341013976
prot_P05694_exchange	1
prot_P06106_exchange	0.0104075468359417
prot_P06168_exchange	0.373246091695588
prot_P06169_exchange	0.00918523402025385
prot_P06197_exchange	1
prot_P06208_exchange	0.137479937171331
prot_P06738_exchange	0
prot_P06785_exchange	0.00794510762763202
prot_P07143_exchange	1
prot_P07149_exchange	0.691536805215341
prot_P07170_exchange	1
prot_P07172_exchange	0.000542758393312497
prot_P07244_exchange	0.189149718474029
prot_P07245_exchange	0.35794789175263
prot_P07246_exchange	0
prot_P07251_exchange	0.0975912630890423
prot_P07255_exchange	1
prot_P07256_exchange	1
prot_P07257_exchange	1
prot_P07259_exchange	0.00337620076001681
prot_P07262_exchange	0.5956947626312
prot_P07263_exchange	0.0248843299013208
prot_P07264_exchange	0.523979761274095
prot_P07275_exchange	0
prot_P07277_exchange	0.129754967944456
prot_P07283_exchange	1
prot_P07284_exchange	0.27965901147848
prot_P07342_exchange	0.63144021833805
prot_P07702_exchange	0.125162725363067
prot_P07806_exchange	0.0619121252971487
prot_P07991_exchange	0
prot_P08067_exchange	1
prot_P08417_exchange	0.00183356826676283
prot_P08425_exchange	0
prot_P08456_exchange	0.00815677259938747
prot_P08465_exchange	0.663458653135896
prot_P08524_exchange	1
prot_P08525_exchange	1
prot_P08536_exchange	0
prot_P08566_exchange	0.294428061740983
prot_P08679_exchange	0
prot_P09201_exchange	0
prot_P09436_exchange	0.0239207754230152
prot_P09440_exchange	0
prot_P09457_exchange	0.951508341013976
prot_P09624_exchange	0.104792128371382
prot_P09938_exchange	0
prot_P10174_exchange	1
prot_P10614_exchange	1
prot_P10659_exchange	0.679659225315109
prot_P10869_exchange	0.0155708979949816
prot_P10963_exchange	0
prot_P11154_exchange	0.337147486067285
prot_P11412_exchange	0
prot_P11986_exchange	0.217041360944939
prot_P12683_exchange	0.221009557518873
prot_P12695_exchange	0.29678934390935
prot_P12709_exchange	0.07894225228592
prot_P12945_exchange	0
prot_P13188_exchange	0.420485725839907
prot_P13298_exchange	0.0633854555460913
prot_P13586_exchange	0
prot_P13663_exchange	0.00922227456512431
prot_P13711_exchange	0
prot_P14020_exchange	0.0897109152435315
prot_P14065_exchange	0
prot_P14540_exchange	0.259960014409183
prot_P14742_exchange	0
prot_P14843_exchange	0
prot_P14904_exchange	0
prot_P15019_exchange	0.000376841134192701
prot_P15180_exchange	0.0365311060782342
prot_P15202_exchange	0
prot_P15274_exchange	0
prot_P15454_exchange	0.00010661510848092
prot_P15496_exchange	8.01049189735345e-05
prot_P15624_exchange	0.00229161402812975
prot_P15625_exchange	0.0023513362017827
prot_P15700_exchange	0.00468308045028944
prot_P15703_exchange	0
prot_P16120_exchange	0.000631972522980062
prot_P16140_exchange	0
prot_P16387_exchange	0.369480421455908
prot_P16451_exchange	1
prot_P16550_exchange	0.00628198337066243
prot_P16603_exchange	0.282983824864789
prot_P16861_exchange	0
prot_P16862_exchange	0.247963520195047
prot_P17255_exchange	0
prot_P17423_exchange	0.111260091007808
prot_P17505_exchange	0.0124116539106982
prot_P17649_exchange	0
prot_P17709_exchange	0
prot_P18544_exchange	1
prot_P18562_exchange	0
prot_P19097_exchange	0.541519268979341
prot_P19262_exchange	9.13562669571293e-06
prot_P19358_exchange	0
prot_P19414_exchange	0.0319308809176138
prot_P19516_exchange	0
prot_P19657_exchange	0
prot_P20051_exchange	1
prot_P20485_exchange	0
prot_P20967_exchange	3.05677881284864e-06
prot_P21182_exchange	0
prot_P21264_exchange	0.0275818321229173
prot_P21306_exchange	0.951508341013976
prot_P21524_exchange	1
prot_P21801_exchange	0.00590723758825246
prot_P21954_exchange	0.227616949872511
prot_P22133_exchange	0.00286914553510076
prot_P22217_exchange	0.329790890587332
prot_P22289_exchange	1
prot_P22768_exchange	0.020126368588443
prot_P22803_exchange	0
prot_P22855_exchange	0
prot_P23202_exchange	0
prot_P23254_exchange	0.00146058680820379
prot_P23337_exchange	0.324628761252425
prot_P23542_exchange	0.0157713406747167
prot_P23776_exchange	0
prot_P24521_exchange	1
prot_P25087_exchange	0
prot_P25340_exchange	1
prot_P25372_exchange	0
prot_P25605_exchange	0
prot_P26263_exchange	0
prot_P26637_exchange	0.126233133376591
prot_P27472_exchange	0
prot_P27616_exchange	0.0103162168093552
prot_P27796_exchange	0
prot_P27810_exchange	0
prot_P28240_exchange	0
prot_P28241_exchange	0.0251997854579145
prot_P28272_exchange	1
prot_P28273_exchange	0
prot_P28274_exchange	0.0761246567456954
prot_P28321_exchange	0
prot_P28777_exchange	1
prot_P28834_exchange	0.0178853500973692
prot_P29029_exchange	0
prot_P29509_exchange	0.00951229901509545
prot_P29704_exchange	0.651814225557721
